,,T41-EP BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOARD,QTY,REFERENCE,VALUE,NAME ,,,,,,,,,,,,,,,,,,,,,,,,,,
main,?4 ,Bands.... Display1. Encoders. Encoders1 ,,IDC2x5_Male       ,,,,,,,,,,,,,,,,,,,,,,,,,,
switch,15,"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16 ",100,RES  1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
switch,1,R17,10K ,RES  1206,,,,,,,,,,,,,,,,,,,,,,,,,,
switch,16,S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16,,B3F-1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,28,"C1,  C2,  C3,  C5,  C6,  C7,  C8,  C9,  C10,  C24,  C101,  C102,  C104,  C105,  C107,  C108,  C109,  C110,  C111,  C112,  C201,  C202,  C204,  C206,  C208,  C209,  C300,  C302",0.1uF,CAP 1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,?1 ,C4,390 pF ,CAP 1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,C11,10uF,CAP 1206,,,,,,,,,,,,,,,,,,,,,"C204, ","C206, ","C208, ","C209, ","C300, ",C302
pa,4,"C103, C106, C203, C207",0.47uF,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,C205,33pF,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,C301,100uF ,CAPAE-4.3x4.3h5.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,9,"D301, D302, D303, D304, D305, D306, D307, D308, D309",,DIODE 1N4148,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"J1, J2",,SMA COAX FEMALE , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,?2 ,"J4, J6 ",,HDR-1x2H , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,J5 ,,HDRF-1x2 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"J200, J201 ",,CON_FEMALE , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,Ll ,0.18uH ,1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,5,"L2, L101, L103, L201, L204 ",2.2uH ,1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,4,"L102, L104, L202, L203 ",.33uH ,1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,4,"Q1, Q2, Q3, Q5 ",,2N3904 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"Q4, Q302 ",,2N3906 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,4,"Q101, Q102, Q201, Q202 ",,IRF510 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,Q301 ,,TIP127 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,Q303 ,,IRFU9024 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,Rl ,4700,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R2 ,5100,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R3 ,200,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,3,"R4, R16, R304 ",150,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R5 ,3300,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R6 ,5600,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R7 ,1200,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R8 ,200,Trim Pot,, ,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R9 ,3K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R10 ,680,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"R11, R13 ",24K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,4,"R12, R15, R301, R302 ",10K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R14 ,48,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
